Dataset length,Binary_MPI_time,Linear_MPI_time,Binary_omp_time,Linear_omp_time,Binary_pthreads,Linear_pthreads, Binary_Sequential, Linear_Sequential
10,0.03525100,0.08692500,0.418673,0.218321,0.52093,0.150224,0.000137,0.00713
50,0.02781300,0.03104800,0.499299,0.442635,0.519678,0.506335,0.000423,0.026907
100,0.04003200,0.02893800,0.381622,0.389173,0.586062,0.580103,0.000629,0.023839
500,0.03054200,0.03053200,0.353414,0.344991,0.49831,0.642796,0.000551,0.02742
1000,0.03488100,0.03414800,0.222927,0.18879,0.446156,0.571894,0.000662,0.033421
5000,0.03909800,0.03873300,0.467944,0.426109,0.485923,0.559174,0.000688,0.069908
10000,0.04165600,0.05059600,0.230768,0.197662,0.4412,0.193889,0.0002,0.028739
50000,0.08008400,0.12499000,0.466546,0.46096,0.280647,0.538485,0.000596,0.127615
100000,0.11205400,0.24751900,0.384245,0.482867,0.257419,0.404992,0.000577,0.227041
500000,0.43519100,0.83844100,0.238576,0.286427,0.399189,0.423628,0.000359,1.18899
1000000,0.70151300,2.35421900,0.237063,0.447496,0.295759,0.623375,0.0007,2.61014
5000000,3.86780300,8.13518400,0.287023,1.39517,0.383152,1.47025,0.000932,2.174
10000000,6.80789700,17.57732600,0.24681,2.4844,0.264912,2.44216,0.000938,27.0569
50000000,37.48966600,61.92559700,0.260595,13.3705,0.510461,12.1622,0.002155,2.27986
100000000,73.74707500,123.17670100,0.256527,26.7787,0.273096,25.3255,0.001468,2.37655
